split,seed,relation,disease_id,variant,auprc,auroc,n_pos,n_candidates,dd_degree_train,kg_degree,spearman_A_B,tag,fusion_w
cardiovascular,2,indication,8542.0,p_B,0.0017921146953405018,0.6900389538119087,1,1798,0.0,16.0,0.6131808122026181,varA,0.02
cardiovascular,2,indication,8542.0,fuse_rankavg,0.002652519893899204,0.7910406232609906,1,1798,0.0,16.0,0.6131808122026181,varA,0.02
cardiovascular,2,indication,8542.0,fuse_scalar,0.0018181818181818182,0.6944908180300501,1,1798,0.0,16.0,0.6131808122026181,varA,0.02
cardiovascular,2,indication,8542.0,fuse_mlp,0.003236245954692557,0.8286032276015582,1,1798,0.0,16.0,0.6131808122026181,varA,0.02
cardiovascular,2,indication,11514.0,p_A,0.0036363636363636364,0.8475236505286589,1,1798,0.0,2.0,0.689508300687737,varA,0.02
cardiovascular,2,indication,11514.0,p_B,0.003472222222222222,0.8402893711741792,1,1798,0.0,2.0,0.689508300687737,varA,0.02
cardiovascular,2,indication,11514.0,fuse_rankavg,0.004694835680751174,0.8823038397328882,1,1798,0.0,2.0,0.689508300687737,varA,0.02
cardiovascular,2,indication,11514.0,fuse_scalar,0.0035211267605633804,0.8425153032832499,1,1798,0.0,2.0,0.689508300687737,varA,0.02
cardiovascular,2,indication,11514.0,fuse_mlp,0.0033333333333333335,0.8336115748469671,1,1798,0.0,2.0,0.689508300687737,varA,0.02
cardiovascular,2,indication,8889.0,p_A,0.022222222222222223,0.9755147468002227,1,1798,0.0,2.0,0.6650748329582594,varA,0.02
cardiovascular,2,indication,8889.0,p_B,0.0007698229407236335,0.27768503060656646,1,1798,0.0,2.0,0.6650748329582594,varA,0.02
cardiovascular,2,indication,8889.0,fuse_rankavg,0.0015220700152207,0.6352253756260434,1,1798,0.0,2.0,0.6650748329582594,varA,0.02
cardiovascular,2,indication,8889.0,fuse_scalar,0.0007936507936507937,0.29938786867000555,1,1798,0.0,2.0,0.6650748329582594,varA,0.02
cardiovascular,2,indication,8889.0,fuse_mlp,0.007692307692307693,0.9282136894824707,1,1798,0.0,2.0,0.6650748329582594,varA,0.02
cardiovascular,2,indication,8638.0,p_A,0.011907092059763816,0.9317928730512249,2,1798,0.0,9.0,-0.14427658533851986,varA,0.02
cardiovascular,2,indication,8638.0,p_B,0.0034614787293774712,0.7544543429844098,2,1798,0.0,9.0,-0.14427658533851986,varA,0.02
cardiovascular,2,indication,8638.0,fuse_rankavg,0.034174311926605506,0.9649220489977728,2,1798,0.0,9.0,-0.14427658533851986,varA,0.02
cardiovascular,2,indication,8638.0,fuse_scalar,0.0036135016815304856,0.7641982182628062,2,1798,0.0,9.0,-0.14427658533851986,varA,0.02
cardiovascular,2,indication,8638.0,fuse_mlp,0.017246194665549504,0.9535077951002228,2,1798,0.0,9.0,-0.14427658533851986,varA,0.02
cardiovascular,2,indication,6812.0,p_A,0.0031901340007352164,0.7452672605790646,2,1798,0.0,6.0,0.010456131540765684,varA,0.02
cardiovascular,2,indication,6812.0,p_B,0.00434789935792649,0.8090200445434299,2,1798,0.0,6.0,0.010456131540765684,varA,0.02
cardiovascular,2,indication,6812.0,fuse_rankavg,0.011518632121647197,0.9239977728285078,2,1798,0.0,6.0,0.010456131540765684,varA,0.02
cardiovascular,2,indication,6812.0,fuse_scalar,0.004407989208476568,0.8120824053452116,2,1798,0.0,6.0,0.010456131540765684,varA,0.02
cardiovascular,2,indication,6812.0,fuse_mlp,0.00444375146176035,0.8176503340757239,2,1798,0.0,6.0,0.010456131540765684,varA,0.02
cardiovascular,2,indication,6658.0,p_A,0.001037344398340249,0.4641068447412354,1,1798,0.0,50.0,0.6392050325211964,varA,0.02
cardiovascular,2,indication,6658.0,p_B,0.0013717421124828531,0.5948803561491374,1,1798,0.0,50.0,0.6392050325211964,varA,0.02
cardiovascular,2,indication,6658.0,fuse_rankavg,0.0011904761904761906,0.5331107401224263,1,1798,0.0,50.0,0.6392050325211964,varA,0.02
cardiovascular,2,indication,6658.0,fuse_scalar,0.0013623978201634877,0.5920979410127991,1,1798,0.0,50.0,0.6392050325211964,varA,0.02
cardiovascular,2,indication,6658.0,fuse_mlp,0.0011750881316098707,0.5269894268224818,1,1798,0.0,50.0,0.6392050325211964,varA,0.02
cardiovascular,2,indication,5081.0,p_A,0.0007283321194464676,0.23650528658875902,1,1798,0.0,4.0,0.3470692847874457,varA,0.02
